sentence,Predicted,Expected,Result
rcdpig has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
"miufwx should not be greater than 71549 ,but less than 562","Value is_within(562,7155)","Value is_within(562,71549)",Fail
"pewzzn is comprised between 2151, excluded, and 36488","Value is_within(2151, excluded)","Value is_within(2151,36488)",Fail
ehgyai should not contain something,Value not_equals to null,VALUE equals to null,Fail
jhkcuj should have a expired indicator,Value equals to null,VALUE not_equals to null,Fail
fecxsj depth must not be null,Value equals to null,VALUE not_equals to null,Fail
ujmcfp depth must be null,Value equals to null,VALUE equals to null,Fail
"qohzma is comprised between 1120, excluded, and 94111","Value is_within(1120,94111)","Value is_within(1120,94111)",Pass
emzfsa depth must be null,Value equals to null,VALUE equals to null,Fail
vrqofk equals a number under 2873 and over 81354,"Value is_within(2873,8135)","Value is_within(2873,81354)",Fail
bofcuo mustn't be null,Value not_equals to null,VALUE not_equals to null,Fail
tugghd should not have a lithology description.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
xpbbzr consists of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ujmcfp must be blank,Value equals to null,VALUE equals to null,Fail
"cbhrny exceeds 4110,but does not exceeds 62823","Value is_within(4110,6283)","Value is_within(4110,62823)",Fail
"qperfo must be greater than 8080 ,but less than 30121","Value is_within(8080,30121)","Value is_within(8080,30121)",Pass
cspogb can be equal to empty,Value equals to null,VALUE equals to null,Fail
qatafx cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
mtkktz is null,Value equals to null,VALUE equals to null,Fail
qlilum isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
exbble can be equal to null,Value equals to null,VALUE equals to null,Fail
"ylimmo is greater than 1111,but less than 77217","Value is_within(1111,7217)","Value is_within(1111,77217)",Fail
ainhdc represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
yymuqb could not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
wjsnej can be a empty,Value equals to null,VALUE equals to null,Fail
zfwmnt would not be empty,Value not_equals to null,VALUE not_equals to null,Fail
crxxkr is required to be empty,Value equals to null,VALUE equals to null,Fail
yeizqw cannot be null,Value not_equals to null,VALUE equals to null,Fail
tcerft depth must not be null,Value equals to null,VALUE not_equals to null,Fail
upieyx can be equal to empty,Value equals to null,VALUE equals to null,Fail
xvzxqv can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
fcczjk may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
ntvtxo cannot be empty,Value not_equals to null,VALUE not_equals to null,Fail
ecsend could be null.,Value equals to null,VALUE equals to null,Fail
qirwnn can be equal to empty,Value equals to null,VALUE equals to null,Fail
yaineh may not contain the value of date,Value not_equals to null,VALUE is equal to DATE,Fail
cravon is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
gddwvd is of value date,Value not_equals to null,VALUE is equal to DATE,Fail
fvnkdr is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
vymkkg can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
nuevvz must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
fcfzju mustn't be an empty string.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
erhnsu is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
itnowo can not be left empty,Value not_equals to null,VALUE not_equals to null,Fail
"tyxrel must be greater than 9434 ,but less than 82553","Value is_within(9434,8255)","Value is_within(9434,82553)",Fail
cecujz is required to be empty,Value equals to null,VALUE equals to null,Fail
ktihmi can only hold date data type,VALUE is equal to DATE,VALUE is equal to DATE,Pass
wznuru must have a null loan number,Value equals to null,VALUE equals to null,Fail
bzfywb must be in between 7492 to 99328,"Value is_within(7492,99328)","Value is_within(7492,99328)",Pass
uqkihm can not be equal to empty,Value not_equals to null,VALUE not_equals to null,Fail
hmysnf should have a lithology description.,VALUE is equal to DATE,VALUE not_equals to null,Fail
xusyol can be a null,Value equals to null,VALUE equals to null,Fail
bftlgn must have a null loan number,Value equals to null,VALUE equals to null,Fail
qirwnn should be empty,Value equals to null,VALUE equals to null,Fail
vmrdvr can be left empty,Value equals to null,VALUE equals to null,Fail
grrbpo should be blank,Value equals to null,VALUE equals to null,Fail
uqkihm would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
kitidm is expected to be empty,Value equals to null,VALUE equals to null,Fail
ugfkpd must be in between 9952 to 62872,Value is_within(9952 to 62872),"Value is_within(9952,62872)",Fail
mvpfgk could be blank,Value equals to null,VALUE equals to null,Fail
olungd describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
cawmak cannot be empty.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
tubrig is required to be null,Value equals to null,VALUE equals to null,Fail
mgyhbm would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
mvpfgk must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
loassa would not be null,Value equals to null,VALUE not_equals to null,Fail
bgjjgm is equivalent to date,Value equals to null,VALUE is equal to DATE,Fail
ecsend should be null,Value equals to null,VALUE equals to null,Fail
uqkihm must be populated,Value equals to null,VALUE not_equals to null,Fail
gegtft can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
jwaeqj mustn't be null,Value equals to null,VALUE not_equals to null,Fail
fzquej can be a null,Value equals to null,VALUE equals to null,Fail
"qperfo IS LONGER THAN eight thousand and eighty AND ALSO qperfo IS SMALL THAN thirty thousand, one hundred and twenty-one",Value is_within(eight thousand and eighty),"Value is_within(8080,30121)",Fail
kpqzaf mustn't be empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
jwaeqj must not be null,Value not_equals null,VALUE not_equals to null,Fail
"oobhbd represents a specific day, month and year.",VALUE is equal to DATE,VALUE is equal to DATE,Pass
tubrig could be null.,Value equals to null,VALUE equals to null,Fail
yaineh is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ifdznu can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
ozqjwn mustn't be null,Value equals to null,VALUE not_equals to null,Fail
ecuibc field can not be blank or empty,Value not_equals to null,VALUE equals to null,Fail
ijafwf could be null.,Value equals to null,VALUE equals to null,Fail
uwyjvd mustn't be null,Value equals to null,VALUE not_equals to null,Fail
xznjoe would not be blank,Value not_equals to null,VALUE not_equals to null,Fail
frisrl is strictly greater than 5786 and strictly lower than 26469,"Value is_within(5786,26469)","Value is_within(5786,26469)",Pass
Lets say wcgpmx cannot have null values,Value not_equals to null,VALUE not_equals to null,Fail
immlmq is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
oxhiis must be populated,Value equals to null,VALUE not_equals to null,Fail
yeeusf is required to be empty,Value equals to null,VALUE equals to null,Fail
njevon must not be populated,Value not_equals to null,VALUE equals to null,Fail
remxly must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
rtnbxx canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
ycktyw describes date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
lhyahj can only be of type date,VALUE is equal to DATE,VALUE is equal to DATE,Pass
oqvxaz is blank,Value equals to null,VALUE equals to null,Fail
wldjim represents a date.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
oxhiis mustn't be empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
wjyybf could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
ntvtxo must not be empty,Value equals to null,VALUE not_equals to null,Fail
jgwkbv should have a lithology description.,VALUE is equal to DATE,VALUE not_equals to null,Fail
jigbko can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
wbnbnk is comprised of a DATE.,VALUE is equal to DATE,VALUE is equal to DATE,Pass
amdhdt can not be equal to blank,Value not_equals to null,VALUE not_equals to null,Fail
Lets say fdxxmg cannot have null values,Value not_equals to null,VALUE not_equals to null,Fail
xklmqm is empty.,Value equals to null,VALUE equals to null,Fail
"uezpzb is greater than 9808,but less than 63885","Value is_within(9808,6385)","Value is_within(9808,63885)",Fail
wssdgw could not be blank,Value not_equals to null,VALUE not_equals to null,Fail
rcdpig isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
niouhk can be equal to empty,Value equals to null,VALUE equals to null,Fail
wpqgqx is required to be empty,Value equals to null,VALUE equals to null,Fail
dnrkyr could be less than 6393 and more than 43798,"Value is_within(6393,4798)","Value is_within(6393,43798)",Fail
nfdxty is empty,Value equals to null,VALUE equals to null,Fail
"epsaes exceeds 3094,but does not exceeds 35928","Value is_within(3094,3598)","Value is_within(3094,35928)",Fail
feifbz should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
knbzdc canbe empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
yraqos cannot have any characters.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
bcgrfy can be left empty,Value equals to null,VALUE equals to null,Fail
xcbrzn could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
xznjoe isn't empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
wmejbu is strictly greater than 7065 and strictly lower than 19793,"Value is_within(7065,793)","Value is_within(7065,19793)",Fail
pbdden is expected to be null,Value equals to null,VALUE equals to null,Fail
"rjotpb lies between eight thousand, eight hundred and sixteen and fifty-eight thousand, six hundred and nine","Value is_within(8 thousand,8 hundred and 16)","Value is_within(8816,58609)",Fail
ljrhjb can be equal to empty,Value equals to null,VALUE equals to null,Fail
zaccez mustn't be empty.,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
cvrpww shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
cspogb would be blank,Value equals to null,VALUE equals to null,Fail
tctdlk shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
wjsnej is required to be empty,Value equals to null,VALUE equals to null,Fail
wcgpmx must have a non-null loan number,Value not_equals to null,VALUE not_equals to null,Fail
vgxrfb is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
bxboto can be equal to empty,Value equals to null,VALUE equals to null,Fail
wpqgqx cannot be null,Value not_equals to null,VALUE equals to null,Fail
nszato cannot be null,Value equals to null,VALUE not_equals to null,Fail
qivpgv can be left blank,Value equals to null,VALUE equals to null,Fail
zeqrvl is blank,Value equals to null,VALUE equals to null,Fail
gwdnaj is null,Value equals to null,VALUE equals to null,Fail
whvlyw has not some values.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
fdpdox can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
jdsqmx must be in between 5715 to 44404,Value is_within(5715 to 44404),"Value is_within(5715,44404)",Fail
hkruxp can have values of type DATE only,Value equals to null,VALUE is equal to DATE,Fail
xfhlin is a null,Value equals to null,VALUE equals to null,Fail
cspogb can be equal to null,Value equals to null,VALUE equals to null,Fail
dyszjk cannot be empty.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
zaytgw is required to be null,Value equals to null,VALUE equals to null,Fail
zdypxi could be empty,Value equals to null,VALUE equals to null,Fail
zvluvb must be blank,Value equals to null,VALUE equals to null,Fail
czknai is empty,Value equals to null,VALUE equals to null,Fail
pfcxzo is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
hirqxn could be empty,Value equals to null,VALUE equals to null,Fail
ejktuz should contain something,Value not_equals to null,VALUE not_equals to null,Fail
zwxkxj is not a null,Value not_equals to null,VALUE not_equals to null,Fail
tcqoeu is required to be null,Value equals to null,VALUE equals to null,Fail
remxly can not be left blank,Value not_equals to null,VALUE not_equals to null,Fail
svxdmu shall be 'DATE',VALUE is equal to DATE,VALUE is equal to DATE,Pass
tubrig is required to be empty,Value equals to null,VALUE equals to null,Fail
egyntc has some values.,VALUE is equal to NUMBER,VALUE not_equals to null,Fail
bclenq must not be empty,Value not_equals to null,VALUE not_equals to null,Fail
syfzto should be empty,Value equals to null,VALUE equals to null,Fail
mgfsur can be in range 5146 to 96358,Value is_within(5146-96358),"Value is_within(5146,96358)",Fail
zglgtn must have a non-null loan number,VALUE is not_equal to NUMBER,VALUE not_equals to null,Fail
btpemn should not be blank,Value not_equals to null,VALUE not_equals to null,Fail
"gtdlhr is more than 8764 ,but less than 15303","Value is_within(8764,1533)","Value is_within(8764,15303)",Fail
diiblo can be left empty,Value equals to null,VALUE equals to null,Fail
ybpbmv is expected to be not empty,Value not_equals to null,VALUE not_equals to null,Fail
qypqyy might be in between 1413 to 70245,"Value is_within(1413,70245)","Value is_within(1413,70245)",Pass
krumex is a null,Value equals to null,VALUE equals to null,Fail
ewbjyv cannot be empty.,VALUE is not_equal to NULL,VALUE not_equals to null,Fail
wjyybf is not null,Value not_equals null,VALUE not_equals to null,Fail
tuorph could be null,Value equals to null,VALUE equals to null,Fail
zdypxi has not some values.,___________,VALUE equals to null,Fail
ymvrex cannot be null.,Value not_equals to null,VALUE not_equals to null,Fail
amdhdt is expected to be not null,Value equals to null,VALUE not_equals to null,Fail
qoxavd is required to be not null,Value equals to null,VALUE not_equals to null,Fail
hjzbcn could not be null.,Value not_equals to null,VALUE not_equals to null,Fail
psygho should not contain something,Value not_equals to null,VALUE equals to null,Fail
udxpky should be empty,Value equals to null,VALUE equals to null,Fail
fcfzju can't be a null,Value not_equals to null,VALUE not_equals to null,Fail
birmqk must be empty.,VALUE is equal to NUMBER,VALUE equals to null,Fail
szohnf is always NULL,Value equals to null,VALUE equals to null,Fail
tihxkf should not be empty,Value not_equals to null,VALUE not_equals to null,Fail
dujqvz could be blank,Value equals to null,VALUE equals to null,Fail
ifxvnx can not have any characters.,VALUE is not_equal to NUMBER,VALUE equals to null,Fail
cuwpmm cannot be null,Value not_equals to null,VALUE not_equals to null,Fail
